time,open,high,low,close,tick_volume,spread,real_volume
2026-05-27 23:05:00,159.502,159.511,159.502,159.505,26,7,0
2026-05-27 23:10:00,159.505,159.505,159.492,159.504,39,7,0
2026-05-27 23:15:00,159.504,159.508,159.491,159.502,37,7,0
2026-05-27 23:20:00,159.502,159.545,159.502,159.537,140,7,0
2026-05-27 23:25:00,159.537,159.544,159.531,159.539,57,7,0
2026-05-27 23:30:00,159.539,159.553,159.521,159.523,124,7,0
2026-05-27 23:35:00,159.523,159.545,159.523,159.537,40,7,0
2026-05-27 23:40:00,159.537,159.555,159.537,159.542,54,7,0
2026-05-27 23:45:00,159.542,159.552,159.54,159.551,56,7,0
2026-05-27 23:50:00,159.551,159.576,159.55,159.562,100,7,0
2026-05-27 23:55:00,159.562,159.568,159.553,159.567,62,7,0
2026-05-28 00:00:00,159.57,159.581,159.564,159.571,159,7,0
2026-05-28 00:05:00,159.571,159.571,159.549,159.549,99,7,0
2026-05-28 00:10:00,159.549,159.57,159.547,159.564,117,7,0
2026-05-28 00:15:00,159.563,159.573,159.553,159.565,109,7,0
2026-05-28 00:20:00,159.565,159.566,159.541,159.555,124,7,0
2026-05-28 00:25:00,159.555,159.563,159.546,159.546,92,7,0
2026-05-28 00:30:00,159.546,159.569,159.546,159.564,118,7,0
2026-05-28 00:35:00,159.564,159.587,159.557,159.587,92,7,0
2026-05-28 00:40:00,159.587,159.588,159.559,159.573,127,7,0
2026-05-28 00:45:00,159.575,159.592,159.569,159.587,97,7,0
2026-05-28 00:50:00,159.588,159.599,159.564,159.589,208,7,0
2026-05-28 00:55:00,159.585,159.585,159.553,159.556,135,7,0
2026-05-28 01:00:00,159.558,159.576,159.551,159.573,148,7,0
2026-05-28 01:05:00,159.573,159.576,159.552,159.561,126,7,0
2026-05-28 01:10:00,159.562,159.563,159.536,159.549,138,7,0
2026-05-28 01:15:00,159.549,159.554,159.535,159.538,115,7,0
2026-05-28 01:20:00,159.538,159.55,159.537,159.541,78,7,0
2026-05-28 01:25:00,159.541,159.555,159.541,159.551,56,7,0
2026-05-28 01:30:00,159.551,159.562,159.537,159.559,93,7,0
2026-05-28 01:35:00,159.559,159.565,159.558,159.558,42,7,0
2026-05-28 01:40:00,159.558,159.575,159.558,159.571,87,7,0
2026-05-28 01:45:00,159.571,159.588,159.569,159.574,117,7,0
2026-05-28 01:50:00,159.574,159.584,159.57,159.577,68,7,0
2026-05-28 01:55:00,159.577,159.589,159.575,159.585,69,7,0
2026-05-28 02:00:00,159.585,159.599,159.573,159.599,129,7,0
2026-05-28 02:05:00,159.599,159.6,159.587,159.588,63,7,0
2026-05-28 02:10:00,159.588,159.589,159.566,159.572,85,7,0
2026-05-28 02:15:00,159.572,159.573,159.551,159.552,61,7,0
2026-05-28 02:20:00,159.552,159.552,159.525,159.536,92,7,0
2026-05-28 02:25:00,159.534,159.538,159.534,159.537,22,7,0
2026-05-28 02:30:00,159.537,159.537,159.523,159.527,64,7,0
2026-05-28 02:35:00,159.528,159.553,159.524,159.535,62,7,0
2026-05-28 02:40:00,159.536,159.558,159.535,159.553,90,7,0
2026-05-28 02:45:00,159.553,159.567,159.553,159.563,101,7,0
2026-05-28 02:50:00,159.562,159.578,159.558,159.572,82,7,0
2026-05-28 02:55:00,159.573,159.573,159.553,159.554,69,7,0
2026-05-28 03:00:00,159.554,159.557,159.537,159.541,84,7,0
2026-05-28 03:05:00,159.538,159.553,159.538,159.548,83,7,0
2026-05-28 03:10:00,159.546,159.572,159.544,159.565,114,7,0
2026-05-28 03:15:00,159.564,159.586,159.564,159.575,136,7,0
2026-05-28 03:20:00,159.576,159.585,159.575,159.579,95,7,0
2026-05-28 03:25:00,159.578,159.584,159.569,159.582,111,7,0
2026-05-28 03:30:00,159.581,159.601,159.58,159.598,135,7,0
2026-05-28 03:35:00,159.6,159.631,159.592,159.615,206,7,0
2026-05-28 03:40:00,159.613,159.622,159.603,159.62,150,7,0
2026-05-28 03:45:00,159.62,159.646,159.618,159.638,124,7,0
2026-05-28 03:50:00,159.636,159.651,159.633,159.636,89,7,0
2026-05-28 03:55:00,159.635,159.638,159.612,159.613,80,7,0
2026-05-28 04:00:00,159.613,159.618,159.593,159.595,168,7,0
2026-05-28 04:05:00,159.595,159.611,159.558,159.562,147,7,0
2026-05-28 04:10:00,159.561,159.562,159.53,159.534,145,7,0
2026-05-28 04:15:00,159.535,159.576,159.521,159.566,176,7,0
2026-05-28 04:20:00,159.566,159.566,159.553,159.563,88,7,0
2026-05-28 04:25:00,159.564,159.566,159.55,159.562,92,7,0
2026-05-28 04:30:00,159.562,159.562,159.533,159.554,91,7,0
2026-05-28 04:35:00,159.554,159.578,159.551,159.574,77,7,0
2026-05-28 04:40:00,159.574,159.588,159.569,159.577,81,7,0
2026-05-28 04:45:00,159.577,159.591,159.574,159.586,45,7,0
2026-05-28 04:50:00,159.586,159.591,159.584,159.588,49,7,0
2026-05-28 04:55:00,159.587,159.591,159.567,159.573,80,7,0
2026-05-28 05:00:00,159.573,159.579,159.56,159.562,100,7,0
2026-05-28 05:05:00,159.562,159.573,159.553,159.56,100,7,0
2026-05-28 05:10:00,159.56,159.564,159.548,159.554,85,7,0
2026-05-28 05:15:00,159.554,159.556,159.546,159.549,75,7,0
2026-05-28 05:20:00,159.551,159.575,159.55,159.564,103,7,0
2026-05-28 05:25:00,159.565,159.573,159.556,159.565,93,7,0
2026-05-28 05:30:00,159.565,159.566,159.548,159.549,121,7,0
2026-05-28 05:35:00,159.552,159.561,159.538,159.538,74,7,0
2026-05-28 05:40:00,159.537,159.547,159.535,159.539,78,7,0
2026-05-28 05:45:00,159.539,159.543,159.529,159.542,57,7,0
2026-05-28 05:50:00,159.542,159.555,159.54,159.549,65,7,0
2026-05-28 05:55:00,159.549,159.564,159.549,159.554,95,7,0
2026-05-28 06:00:00,159.555,159.57,159.538,159.544,167,7,0
2026-05-28 06:05:00,159.544,159.545,159.53,159.54,143,7,0
2026-05-28 06:10:00,159.54,159.544,159.516,159.518,106,7,0
